Date,Open,High,Low,Close,Adj Close,Volume
2005-09-26,2195.750000,2302.300049,2195.750000,2274.000000,2274.000000,0
2005-10-03,2282.500000,2333.100098,2244.300049,2264.100098,2264.100098,0
2005-10-10,2272.899902,2279.250000,2176.449951,2181.050049,2181.050049,0
2005-10-17,2189.600098,2201.899902,2059.850098,2119.449951,2119.449951,0
2005-10-24,2131.850098,2131.850098,2016.000000,2022.150024,2022.150024,0
2005-10-31,2035.900024,2109.149902,2031.750000,2106.399902,2106.399902,0
2005-11-07,2111.550049,2221.399902,2104.149902,2220.199951,2220.199951,0
2005-11-14,2235.600098,2283.649902,2209.649902,2269.000000,2269.000000,0
2005-11-21,2267.300049,2302.699951,2230.300049,2300.699951,2300.699951,0
2005-11-28,2327.800049,2366.949951,2299.250000,2345.149902,2345.149902,0
2005-12-05,2354.199951,2388.050049,2307.949951,2385.850098,2385.850098,0
2005-12-12,2393.899902,2441.100098,2390.899902,2425.399902,2425.399902,0
2005-12-19,2431.600098,2468.600098,2422.149902,2426.100098,2426.100098,0
2005-12-26,2418.199951,2465.000000,2362.750000,2459.199951,2459.199951,0
2006-01-02,2465.149902,2545.399902,2456.500000,2537.300049,2537.300049,0
2006-01-09,2547.649902,2550.399902,2480.050049,2502.750000,2502.750000,0
2006-01-16,2502.699951,2537.850098,2438.449951,2529.100098,2529.100098,0
2006-01-23,2516.199951,2591.100098,2510.300049,2587.500000,2587.500000,0
2006-01-30,2598.600098,2604.149902,2543.550049,2550.199951,2550.199951,0
2006-02-06,2553.550049,2623.699951,2546.100098,2621.399902,2621.399902,0
2006-02-13,2624.100098,2646.100098,2589.850098,2593.550049,2593.550049,0
2006-02-20,2594.100098,2656.300049,2563.350098,2644.949951,2644.949951,0
2006-02-27,2646.949951,2738.750000,2622.600098,2724.250000,2724.250000,0
2006-03-06,2731.500000,2775.899902,2680.500000,2765.850098,2765.850098,0
2006-03-13,2776.949951,2807.949951,2764.800049,2790.050049,2790.050049,0
2006-03-20,2807.949951,2833.199951,2776.300049,2821.550049,2821.550049,0
2006-03-27,2828.100098,2923.149902,2828.100098,2910.350098,2910.350098,0
2006-04-03,2918.600098,3055.399902,2918.600098,2977.500000,2977.500000,0
2006-04-10,2983.750000,3007.100098,2826.800049,2884.399902,2884.399902,0
2006-04-17,2924.500000,3052.649902,2911.550049,3034.750000,3034.750000,0
2006-04-24,3036.600098,3071.449951,2868.250000,3014.100098,3014.100098,0
2006-05-01,3093.699951,3157.199951,3084.699951,3143.100098,3143.100098,0
2006-05-08,3166.800049,3223.149902,3120.649902,3132.350098,3132.350098,0
2006-05-15,3120.149902,3128.850098,2740.050049,2767.750000,2767.750000,0
2006-05-22,2794.699951,2794.699951,2439.600098,2726.449951,2726.449951,0
2006-05-29,2725.199951,2769.750000,2511.899902,2615.750000,2615.750000,0
2006-06-05,2627.500000,2638.199951,2209.300049,2376.300049,2376.300049,0
2006-06-12,2372.850098,2439.500000,2137.800049,2386.250000,2386.250000,0
